episode,reward,best_so_far
335,-1272.0,2000.0
336,-2102.0,2000.0
337,-1946.0,2000.0
338,-1862.0,2000.0
339,-19906.0,2000.0
340,-745.0,2000.0
341,-14133.0,2000.0
342,-1876.0,2000.0
343,-2616.0,2000.0
344,-3064.0,2000.0
345,-1177.0,2000.0
346,-2002.0,2000.0
347,-2612.0,2000.0
348,-4952.0,2000.0
349,-833.0,2000.0
350,-7740.0,2000.0
351,-2058.0,2000.0
352,-1548.0,2000.0
353,-798.0,2000.0
354,-935.0,2000.0
355,-2154.0,2000.0
356,-3154.0,2000.0
357,-2712.0,2000.0
358,-2407.0,2000.0
359,-1761.0,2000.0
360,-1699.0,2000.0
361,-1811.0,2000.0
362,-1928.0,2000.0
363,-2848.0,2000.0
364,-1124.0,2000.0
365,-5400.0,2000.0
366,-2476.0,2000.0
367,-1172.0,2000.0
368,-2752.0,2000.0
369,-1516.0,2000.0
370,-1666.0,2000.0
371,-2824.0,2000.0
372,-1307.0,2000.0
373,860.0,2000.0
374,-1305.0,2000.0
375,-1303.0,2000.0
376,-1809.0,2000.0
377,-6396.0,2000.0
378,-1377.0,2000.0
379,-12722.0,2000.0
380,-2628.0,2000.0
381,-2061.0,2000.0
382,-8543.0,2000.0
383,-930.0,2000.0
384,-1944.0,2000.0
385,-2641.0,2000.0
386,-2935.0,2000.0
387,-1599.0,2000.0
388,-2264.0,2000.0
389,-2924.0,2000.0
390,-2254.0,2000.0
391,-1627.0,2000.0
392,-1642.0,2000.0
393,-3564.0,2000.0
394,-955.0,2000.0
395,-1836.0,2000.0
396,-2370.0,2000.0
397,-3296.0,2000.0
398,-1607.0,2000.0
399,-2013.0,2000.0
400,-2818.0,2000.0
401,-2020.0,2000.0
402,-1760.0,2000.0
403,-1869.0,2000.0
404,-2394.0,2000.0
405,-3036.0,2000.0
406,-1196.0,2000.0
407,-3177.0,2000.0
408,-1883.0,2000.0
409,-8575.0,2000.0
410,55.0,2000.0
411,-8823.0,2000.0
412,-5439.0,2000.0
413,-2602.0,2000.0
414,-1944.0,2000.0
415,-2070.0,2000.0
416,-2909.0,2000.0
417,-1230.0,2000.0
418,-524.0,2000.0
419,-27408.0,2000.0
420,-1992.0,2000.0
421,-1181.0,2000.0
422,-1605.0,2000.0
423,-2708.0,2000.0
424,-1228.0,2000.0
425,-991.0,2000.0
426,-2322.0,2000.0
427,-978.0,2000.0
428,-3600.0,2000.0
429,-1878.0,2000.0
430,-1668.0,2000.0
431,-1558.0,2000.0
432,-1118.0,2000.0
433,-1595.0,2000.0
434,-1040.0,2000.0
435,-275.0,2000.0
436,-7086.0,2000.0
437,-1768.0,2000.0
438,-2082.0,2000.0
439,-714.0,2000.0
440,-1391.0,2000.0
441,-9767.0,2000.0
442,-2970.0,2000.0
443,-2824.0,2000.0
444,-3130.0,2000.0
445,-1550.0,2000.0
446,-989.0,2000.0
447,-14443.0,2000.0
448,-2666.0,2000.0
449,-1886.0,2000.0
450,-1536.0,2000.0
451,1045.0,2000.0
452,-2445.0,2000.0
453,-1914.0,2000.0
454,-8372.0,2000.0
455,-2014.0,2000.0
456,-2788.0,2000.0
457,-5913.0,2000.0
458,-6599.0,2000.0
459,-823.0,2000.0
460,-2190.0,2000.0
461,-1202.0,2000.0
462,-27.0,2000.0
463,-6933.0,2000.0
464,-913.0,2000.0
465,-3168.0,2000.0
466,-1643.0,2000.0
467,-2290.0,2000.0
468,-2529.0,2000.0
469,-1328.0,2000.0
470,-1825.0,2000.0
471,-1511.0,2000.0
472,-3476.0,2000.0
473,-1995.0,2000.0
474,-2662.0,2000.0
475,-5409.0,2000.0
476,-1922.0,2000.0
477,-725.0,2000.0
478,-1505.0,2000.0
479,-214.0,2000.0
480,-2179.0,2000.0
481,-2009.0,2000.0
482,-10012.0,2000.0
483,-3304.0,2000.0
484,-1266.0,2000.0
485,-8397.0,2000.0
486,-2716.0,2000.0
487,-3288.0,2000.0
488,-1985.0,2000.0
489,-1038.0,2000.0
490,-1341.0,2000.0
491,-1775.0,2000.0
492,-1108.0,2000.0
493,-1440.0,2000.0
494,-4009.0,2000.0
495,-2648.0,2000.0
496,-1430.0,2000.0
497,-2810.0,2000.0
498,-8777.0,2000.0
499,-588.0,2000.0
500,-1371.0,2000.0
