episode,reward,best_so_far,wall_hits,grad_norm
1,-1124.0,-1124.0,0,0.30069342255592346
2,744.0,744.0,0,0.32926440238952637
3,-1807.0,744.0,0,0.4621663987636566
4,-2966.0,744.0,0,0.4265308678150177
5,-1717.0,744.0,0,0.4968630075454712
6,-11850.0,744.0,42,0.44846200942993164
7,-3350.0,744.0,0,0.4198267161846161
8,-2942.0,744.0,0,0.4536019563674927
9,-565.0,744.0,0,0.2232063263654709
10,-10842.0,744.0,28,0.5612837672233582
11,-2514.0,744.0,9,0.1457739621400833
12,-6038.0,744.0,17,0.29271501302719116
13,898.0,898.0,0,0.17792247235774994
14,-14020.0,898.0,65,0.21682727336883545
15,-8306.0,898.0,30,0.3479783236980438
16,-1572.0,898.0,0,0.21328337490558624
17,-2521.0,898.0,0,0.359951376914978
18,-2532.0,898.0,0,0.3204733729362488
19,-3340.0,898.0,0,0.36088505387306213
20,-1675.0,898.0,0,0.32253313064575195
21,-1133.0,898.0,0,0.21121297776699066
22,-1976.0,898.0,0,0.36044836044311523
23,-2788.0,898.0,0,0.385124534368515
24,-9298.0,898.0,0,0.3834518492221832
25,-11954.0,898.0,44,0.43030670285224915
26,-1015.0,898.0,0,0.2233162224292755
27,-1703.0,898.0,0,0.288475900888443
28,-2950.0,898.0,0,0.3735853433609009
29,-7095.0,898.0,22,0.3310565650463104
30,-4448.0,898.0,0,0.1557760238647461
31,-1828.0,898.0,0,0.24328112602233887
32,-2124.0,898.0,0,0.3496719300746918
33,-671.0,898.0,0,0.14796976745128632
34,-9930.0,898.0,37,0.4226224422454834
35,-5043.0,898.0,9,0.3042560815811157
36,-1434.0,898.0,0,0.4152511656284332
37,-1928.0,898.0,0,0.3769000172615051
38,-2494.0,898.0,0,0.42717963457107544
39,-10453.0,898.0,35,0.3596363961696625
40,-17861.0,898.0,71,0.4675838053226471
41,-20493.0,898.0,67,0.4909442067146301
42,-1919.0,898.0,0,0.5220064520835876
43,-18714.0,898.0,59,0.3389797508716583
44,-9236.0,898.0,23,0.25160619616508484
45,-11430.0,898.0,40,0.2977420687675476
46,-10580.0,898.0,31,0.2737223505973816
