episode,reward,best_so_far
233,-2804.0,1180.0
234,-1684.0,1180.0
235,-1081.0,1180.0
236,-2830.0,1180.0
237,-3600.0,1180.0
238,-2708.0,1180.0
239,319.0,1180.0
240,-1824.0,1180.0
241,-2110.0,1180.0
242,-2066.0,1180.0
243,-1338.0,1180.0
244,-1379.0,1180.0
245,-2126.0,1180.0
246,-2183.0,1180.0
247,-1631.0,1180.0
248,-1141.0,1180.0
249,-1572.0,1180.0
250,-3136.0,1180.0
251,-2941.0,1180.0
252,-2016.0,1180.0
253,-2616.0,1180.0
254,-2586.0,1180.0
255,-2134.0,1180.0
256,-1870.0,1180.0
257,-1617.0,1180.0
258,-500.0,1180.0
259,-2489.0,1180.0
260,-1800.0,1180.0
261,-1362.0,1180.0
262,-1499.0,1180.0
263,-1079.0,1180.0
264,-1578.0,1180.0
265,-2442.0,1180.0
266,-216.0,1180.0
267,-2098.0,1180.0
268,-3600.0,1180.0
269,-2836.0,1180.0
270,-726.0,1180.0
271,-2930.0,1180.0
272,-1618.0,1180.0
273,-1172.0,1180.0
274,-345.0,1180.0
275,-3048.0,1180.0
276,-1797.0,1180.0
277,-2500.0,1180.0
278,-2784.0,1180.0
279,-1750.0,1180.0
280,-1761.0,1180.0
281,-2159.0,1180.0
282,-2349.0,1180.0
283,-204.0,1180.0
284,-3233.0,1180.0
285,-1161.0,1180.0
286,-1930.0,1180.0
287,-330.0,1180.0
288,978.0,1180.0
289,-2460.0,1180.0
290,-2786.0,1180.0
291,-2708.0,1180.0
292,-1134.0,1180.0
293,-580.0,1180.0
294,-2267.0,1180.0
295,-1861.0,1180.0
296,-420.0,1180.0
297,-1478.0,1180.0
298,-3600.0,1180.0
299,-2818.0,1180.0
300,-2913.0,1180.0
301,-2444.0,1180.0
302,-3189.0,1180.0
303,-1920.0,1180.0
304,-2147.0,1180.0
305,-1376.0,1180.0
306,238.0,1180.0
307,-1595.0,1180.0
308,-1148.0,1180.0
309,-1497.0,1180.0
310,-1427.0,1180.0
311,-1532.0,1180.0
312,-2532.0,1180.0
313,-1891.0,1180.0
314,-3004.0,1180.0
315,-3258.0,1180.0
316,-2062.0,1180.0
317,-1021.0,1180.0
318,-1823.0,1180.0
319,-2095.0,1180.0
320,-1794.0,1180.0
321,-788.0,1180.0
322,-2934.0,1180.0
323,-2052.0,1180.0
324,-2998.0,1180.0
325,-3600.0,1180.0
326,-1514.0,1180.0
327,-3358.0,1180.0
328,-600.0,1180.0
329,-430.0,1180.0
330,-3166.0,1180.0
331,-1482.0,1180.0
332,-1972.0,1180.0
333,785.0,1180.0
334,-1798.0,1180.0
335,-1110.0,1180.0
336,-2275.0,1180.0
337,-1567.0,1180.0
338,-2083.0,1180.0
339,-1528.0,1180.0
340,-1310.0,1180.0
341,-3600.0,1180.0
342,-1378.0,1180.0
343,-2488.0,1180.0
344,-3016.0,1180.0
345,-876.0,1180.0
346,-1976.0,1180.0
347,-1803.0,1180.0
348,-2450.0,1180.0
349,-975.0,1180.0
350,-2178.0,1180.0
351,-2129.0,1180.0
352,-1290.0,1180.0
353,-709.0,1180.0
354,-924.0,1180.0
355,-1922.0,1180.0
356,-3272.0,1180.0
357,-2356.0,1180.0
358,-3026.0,1180.0
359,-1544.0,1180.0
360,-1169.0,1180.0
361,-1453.0,1180.0
362,-1161.0,1180.0
363,-3124.0,1180.0
364,-964.0,1180.0
365,-2604.0,1180.0
366,-2334.0,1180.0
367,-805.0,1180.0
368,-2547.0,1180.0
369,-1881.0,1180.0
370,-1561.0,1180.0
371,-2696.0,1180.0
372,-615.0,1180.0
373,346.0,1180.0
374,-1943.0,1180.0
375,-2145.0,1180.0
376,-2189.0,1180.0
377,-566.0,1180.0
378,-2088.0,1180.0
379,-1942.0,1180.0
380,-2836.0,1180.0
381,-1508.0,1180.0
382,-1151.0,1180.0
383,-724.0,1180.0
384,-1133.0,1180.0
385,-2760.0,1180.0
386,-3466.0,1180.0
387,-1352.0,1180.0
388,-2548.0,1180.0
389,-2830.0,1180.0
390,-1352.0,1180.0
391,-2300.0,1180.0
392,-1869.0,1180.0
393,-1974.0,1180.0
394,-264.0,1180.0
395,-2595.0,1180.0
396,-2416.0,1180.0
397,-2738.0,1180.0
398,-1289.0,1180.0
399,-2506.0,1180.0
400,-3074.0,1180.0
401,-2047.0,1180.0
402,-2044.0,1180.0
403,-1078.0,1180.0
404,-2238.0,1180.0
405,-2540.0,1180.0
406,-1801.0,1180.0
407,-1262.0,1180.0
408,-2322.0,1180.0
409,-3600.0,1180.0
410,-202.0,1180.0
411,-2204.0,1180.0
412,-1424.0,1180.0
413,-3600.0,1180.0
414,-1287.0,1180.0
415,-1581.0,1180.0
416,-1872.0,1180.0
417,-1064.0,1180.0
418,-1172.0,1180.0
419,-2139.0,1180.0
420,-1992.0,1180.0
421,-1290.0,1180.0
422,-1054.0,1180.0
423,-2684.0,1180.0
424,-650.0,1180.0
425,-1427.0,1180.0
426,-2466.0,1180.0
427,-1192.0,1180.0
428,-3600.0,1180.0
429,-1820.0,1180.0
430,-1578.0,1180.0
431,-1740.0,1180.0
432,-28.0,1180.0
433,-1382.0,1180.0
434,-1245.0,1180.0
435,-213.0,1180.0
436,-736.0,1180.0
437,-1772.0,1180.0
438,-1478.0,1180.0
439,-1245.0,1180.0
440,-1787.0,1180.0
441,-2812.0,1180.0
442,-2327.0,1180.0
443,-3344.0,1180.0
444,-3296.0,1180.0
445,-1500.0,1180.0
446,-805.0,1180.0
447,-3030.0,1180.0
448,-2825.0,1180.0
449,-1462.0,1180.0
450,-2035.0,1180.0
451,804.0,1180.0
452,-79.0,1180.0
453,-2160.0,1180.0
454,-3600.0,1180.0
455,-2696.0,1180.0
456,-2516.0,1180.0
457,-2210.0,1180.0
458,-1245.0,1180.0
459,-560.0,1180.0
460,-2376.0,1180.0
461,-999.0,1180.0
462,332.0,1180.0
463,-2588.0,1180.0
464,-1734.0,1180.0
465,-3600.0,1180.0
466,-1498.0,1180.0
467,-1587.0,1180.0
468,-3207.0,1180.0
469,-1252.0,1180.0
470,-1795.0,1180.0
471,-1864.0,1180.0
472,-3600.0,1180.0
473,-2552.0,1180.0
474,-3002.0,1180.0
475,-2414.0,1180.0
476,-1360.0,1180.0
477,-965.0,1180.0
478,-1572.0,1180.0
479,-823.0,1180.0
480,-2322.0,1180.0
481,-2069.0,1180.0
482,-813.0,1180.0
483,-2736.0,1180.0
484,-1219.0,1180.0
485,-779.0,1180.0
486,-3096.0,1180.0
487,-3408.0,1180.0
488,-1696.0,1180.0
489,-1053.0,1180.0
490,-1805.0,1180.0
491,-2039.0,1180.0
492,-958.0,1180.0
493,-1488.0,1180.0
494,-1854.0,1180.0
495,-2596.0,1180.0
496,-1757.0,1180.0
497,-2344.0,1180.0
498,-1230.0,1180.0
499,-407.0,1180.0
500,-639.0,1180.0
